
Virgin Bride Bound to the Dragon Kingtenant_order,tenant_id,industry,source_url,status,crawl_failed_attempt_seconds,crawl_success_seconds,config_validate_seconds,index_seconds,smoke_seconds,onboarding_technical_seconds,pages,chunks,embedding_provider,note
1,mima_internal,digital_agency,https://mimadigi.com/,legacy_verified,,,,,4.495,,,40,gemini,"Tenant có sẵn từ tuần 1; H3-01 chỉ đo lại smoke, không bịa thời gian onboarding cũ"
2,phongkham_hyhy,medical_clinic,https://phongkhamhyhy.com/,legacy_verified,,,,,3.885,,100,776,openai,"Tenant có sẵn từ tuần 2; H3-01 chỉ đo lại smoke, không bịa thời gian onboarding cũ"
3,bat_dong_san_phuoc_thinh,real_estate,https://www.nhabanphuocthinh.com/,onboarded,47.436,44.821,0.305,8.277,4.644,105.483,74,52,gemini,"Tổng có tính lần đầu đặt ngưỡng 100 chunk không đạt; chạy lại ngưỡng 40 theo tiêu chí H3-01"
4,giao_duc_haiyan,education,https://hannguhaiyan.edu.vn/,onboarded,0,143.252,0.267,24.994,4.201,172.714,100,1369,openai,"Gemini embedding lỗi ở lần tạo index; pipeline tự chuyển fallback OpenAI theo config"
5,thuc_pham_thien_minh,food,https://thucphamchaythienminh.com/,onboarded,0,77.600,0.429,4.596,4.897,87.522,50,41,gemini,"Giới hạn 50 trang sau khi đo bottleneck tenant 4; vẫn đạt ngưỡng 40 chunk"
