tenant_id,industry,total,passed,failed,errors,pass_rate,effective_pass_rate,completion_rate,average_cost_usd,average_latency_ms,weakest_topic,weakest_topic_pass_rate,diagnosis,report_path
bat_dong_san_phuoc_thinh,real_estate,15,12,3,0,0.8,0.8,1.0,0.001721711667,4773.67,services,0.6667,"Có 3 câu sai; nhóm yếu nhất services (66.7%), nguyên nhân chính: blocked_output.",outputs/h3_09/reports/bat_dong_san_phuoc_thinh/20260827T074822.351004Z.json
mima_internal,digital_agency,15,13,2,0,0.8667,0.8666666666666667,1.0,0.000823541667,3766.4,services,0.8,"Có 2 câu sai; nhóm yếu nhất services (80.0%), nguyên nhân chính: blocked_output.",outputs/h3_09/reports/mima_internal/20260827T074820.446609Z.json
thuc_pham_thien_minh,food,15,13,1,1,0.9286,0.8666666666666667,0.9333,0.00153915,4299.6,snacks,0.6667,"Có 1 câu sai; nhóm yếu nhất snacks (66.7%), nguyên nhân chính: completed; có 1 lỗi hạ tầng riêng (retrieval_error), không tính thành lỗi kiến thức.",outputs/h3_09/reports/thuc_pham_thien_minh/20260827T074820.940988Z.json
phongkham_hyhy,medical_clinic,15,14,0,1,1.0,0.9333333333333333,0.9333,0.001286596667,3371.07,Không có,1.0,"Không có câu sai trong các case đã chấm được; có 1 lỗi hạ tầng riêng (llm_error), không tính thành lỗi kiến thức.",outputs/h3_09/reports/phongkham_hyhy/20260827T074819.027002Z.json
giao_duc_haiyan,education,15,15,0,0,1.0,1.0,1.0,0.001600075,4219.13,Không có,1.0,Không có câu sai trong các case đã chấm được.,outputs/h3_09/reports/giao_duc_haiyan/20260827T074822.071052Z.json
